gender,age,certification_area,grad_date,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8,Q9_1,Q9_2,Q10,Q11,Q12,Q14
0,0,2,0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,I have never conducted an actual research project in all of my college courses so I found this whole process very interesting and sometimes challenging. The most challenging part for me was coming up with a concern to research and investigate; everything else kind of fell into place after that for me.,4.0,2.0,I learned that my students are very dependent on the internet as a whole when it comes to their learning and I think in the long run it is something that sometimes can hinder them rather than help them so I want to make sure that technology is not dependent in my future classroom.,This study made me realize that as a teacher I think I am taking the right steps to make sure I have the most successful classroom and students.,I found that limiting certain technologies in the classroom can ultimately benefit the students in the long run.,0
0,0,1,0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,Defining data analysis was a challenge because I have never done a process like it. Creating graphs was also a challenge. ,1.0,1.0,Students are more motived when there are incentives. ,I thought the students were just chatty. I had to reflect on my management and really put it in place and follow through.,"The outcome did not come out how I wanted it to look like. There were thirteen absences the last week of my study which made it look like the number of beans kept went down, when really it was the best week. ",0
0,0,1,0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,I found it difficult to share my findings in a format that did not use I or my students. It was extremely easy to find an issue in the classroom that I wanted to help the students improve on a certain skill.,3.0,2.0,I learned that my students really enjoyed one on one conversations with the teacher which the students really benefited from when improving their organizational skills. ,It made me think of all the things a teacher has to do on a daily basis to get through the day plus having to record data at the same time as teaching lessons to the students.,I found that students started to improve their organizational skills once the study started and they were aware of what was expected of them as students. I found that students really benefit when teachers take the time to have individual conversations with them because it makes them feel special and that the teacher really cares about them. ,1
0,0,1,0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,The plus of this project is learning how to identify a problem within the classroom and then deciding different ways to address it. This will definitely help in the future when we are faced with different problems within the classroom.,5.0,4.0,"I learned that not all interventions will work for every student. It's all about trial and error and observing changes in behaviors, etc. ",I noticed that I am capable of collecting data and making changes within the classroom. I can easier notice changes with the students based on what I am addressing. ,"I found that the intervention I used definitely works for majority of students and is something I will continue to implement in the future. Outcomes that emerged from the study is outside reasons that affects each student whether it's ADHD, immaturity, etc. ",0
0,0,1,0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,I think that this project help me gain good insigt on just how important the relationships are with teachers and students. When you have a good relationship with your students and students feel comfortable within the classroom then you can eventually get that desired behavior that you have been working for.,5.0,4.0,"I learned that all three of my students are capable of exhibiting the desired behaviors of the classroom, especially if this process is implemented throughout the year.","This study helped me to realize that their will be behavior challenges within my classroom but we, as the teacher control how we react to them. Although it is easy to give off the same attitude that the students are giving off, the desired behavior is more likely to be attained if you take a step back to figure out where this behavior is starting and getting to know your students a little better.",The results that I found was that having a conversation with your behavior problem students for 2 min for ten days can increase desired behavior throughout the school year as long as it is continuously implemented. This builds the relationship of the student and teacher and helps the student realize that the teacher cares and wants what is best for the student. This will ultimately help the student become more comfortable in the classroom as well as with the teacher.,0
0,0,2,0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,Creating the data charts was challenging but super helpful for the analysis. ,3.0,5.0,That they are more reluctant to participate in studies like this. ,This made me realize areas that i would focus more on as a teacher.,I expected that the study would show more of an impact of the software that was being used but it ultimately showed that there was not much success with the usage of the software.,1
0,0,1,0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,It surprised me with how quickly the intervention worked and stayed consistently getting better. I don't know if the intervention will continue to work but I was very pleased with how it did for my project. It was sometimes hard to remember to grab the cubes when we went back in the classroom while the students were in other places and shouted out. ,4.0,3.0,I learned that the students in my class did not even realize their behavior of shouting out until they had a visual and could see when their behavior occurred. ,It gave me insight in ways to solve future problem in my classroom and helped me see that I might have to try a few different things before I find out what works. ,I was looking to see if blurt cubes would help reduce the number of shout outs in a 1st grade classroom. I saw really good results of my study and it definitely helped the behavior in my classroom. Some students were still struggling to remember to raise their hand but they were able to at least start to remember to raise their hand every once in a while. ,0
0,0,1,0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,1.0,"Because of this process, I have decided to continue my research in the class trying different things. My research did not work on the particular group of students I tried to research. So, I am trying a new process to see if it works. ",2.0,5.0,"I learned that having students visually see how many times they are on task and getting rewarded for it, did not help this particular group of students. However, I am trying to show them how many times they are on task and see if this helps. ","I think conducting this study may have impacted my perception of myself as a teacher by showing me that trying new things to see if they work is okay in the classroom. It also showed me that even if the particular research or process does not work, that does not mean I failed. It just means I have to try something new. ","I intended to find that having students see how often they were on task during class and getting rewarded for it, would help them to stay on task more. However, I did not see this outcome. ",1
0,1,1,0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,5.0,4.0,I learned alot in this class. I feel confidant with the action research process and am ready to continue studies in my pedagogical growth. The instructor for this class was helpful and accessible. her feedback was prompt and easy to follow. She was available for meetings outside of class and was very clear with her instructions.   ,5.0,5.0,I learned that dysgraphia is a disability that in no way reflects a students intelligence. I learned that supports and writing tools may help a student with dysgraphia slightly but ultimately these students may need accommodations to complete writing assignments. I learned alot about the data collection process that teachers must go through to get supports for their students. ,Conducting this study showed me how research and awareness can impact my students success. Instructors should be prepared to show student data when requesting accommodations. I learned that data collection and action research is not difficult to gather with adequate planning and a clear objective. ,"I found that handwriting tools may not be as helpful as advertised for students who have dysgraphia. An unexpected outcome that occurred during my research process was my research will be used as data for an upcoming meeting regarding potential accommodations for the participant. I did not expect my action research project to benefit the participant after it was concluded. I feel that my research impacted the path of the participant and will make a difference in the success of this student in 3rd grade. Currently, this student is being screened for typing accommodations. ",0
0,0,1,0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,I enjoyed making my own observational checklist,4.0,4.0,Students need clear expectations and sometimes need reminders on these expectations,Made me feel great knowing I can find a solution to a problem,"Students need reminders, even if they arent verbal, they can help the classroom run smoothly",0
